OBJECTID,CAPTURE_ACCURACY,EQUIPMENT,DESCRIPTION,STATUS,OBJECT_TYPE_DESCRIPTION,Shape__Length
1,2,100030393,Rhyolite Track,OPEN,Tramping Track,2239.71483025014
2,6,100089817,Pukeatua Track,CLSD,Tramping Track,11806.0710849365
3,6,100030166,OTAKI RIVER TRACK,OPEN,Tramping Track,517.613295710912
4,2,100104089,SCHOOLHOUSE FLAT TRACK,OPEN,Tramping Track,1319.72556573415
5,2,100044907,LONG GULLY LOOP TRACK,OPEN,Tramping Track,6686.12173715576
6,6,100066203,TIROHANGA TRACK,OPEN,Walking Track,4434.46653502986
7,6,100037998,HOUSE VALLEY WALK - MANA ISLAND,OPEN,Walking Track,364.922942261649
8,6,100039115,MANA ISLAND - CENTRAL TRACK,OPEN,Walking Track,663.360624525661
9,6,100039116,MANA ISLAND - SOUTHERN TRACK,OPEN,Walking Track,1553.16123410263
10,6,100037997,WETLAND LOOP WALK,OPEN,Walking Track,1024.78540974657
11,2,100066183,RONGOMAI TRACK (W. OKATAINA W/WAY TO L.,OPEN,Walking Track,1939.45194357227
12,2,100066471,Opopo Bay Track,OPEN,Walking Track,1875.98412250452
13,4,100045618,Hooks Bay Track,OPEN,Walking Track,2277.68366139887
14,2,100066316,W.OKATAINA W/WAY - OEC TO NGAPUKA BAY,OPEN,Tramping Track,3678.16766693905
15,6,100121057,Gorman Track High Easement,OPEN,Route,4237.30147163741
16,6,100121058,Gorman Track Low Easement,OPEN,Route,774.252786445134
17,2,100044533,KEA POINT TRACK,OPEN,Walking Track,1833.88444338797
18,6,100045263,Mid Wairoa Hut to Top Wairoa Hut,OPEN,Tramping Track,6795.02914647497
19,2,100093352,Big Slip Lookout track,CLSD,Walking Track,290.891908900981
20,6,100031496,OKAHUKURA LOOP TRACK,OPEN,Tramping Track,15303.1392005206
21,6,100031504,MANGAKAHU TRACK,OPEN,Tramping Track,950.133546178696
22,5,100031506,Britannia Track,OPEN,Walking Track,4194.88615296324
23,2,100031507,Coal Creek Walking Track,OPEN,Walking Track,1699.13985350698
24,2,100031508,Lake Kaniere Walkway,OPEN,Walking Track,10076.010772718
25,2,100031509,DOLAMORE TK,OPEN,Walking Track,1932.96762156586
26,2,100031510,GLORY TK,OPEN,Walking Track,1995.24459586531
27,2,100031511,MONOWAI LOOKOUT TK,OPEN,Walking Track,1196.37160443389
28,2,100031512,"ELDERS TK, TUATAPERE",OPEN,Walking Track,525.793329680598
29,2,100031513,TRACK - DEEP BAY,OPEN,Walking Track,343.865633650037
30,2,100031514,TRACK - ACKERS POINT,OPEN,Walking Track,1274.58668925816
31,5,100031515,TE ANA-AU CAVE TRACK,OPEN,Walking Track,136.235889476128
