X,Y,difficulty,Time
178.3084304,-38.2313073,Easy,120
172.6229023,-40.75209804,Easy,180
174.0937593,-39.27213748,"Advanced,Expert",2160
175.1388144,-39.72710868,Advanced,420
169.146338,-45.0770941,Easy,90
169.810247,-44.870071,"Easiest,Advanced",45
169.2762875,-44.16419766,Easiest,60
175.7799681,-37.46468682,Advanced,180
167.5364505,-45.77598852,Easy,40
175.5243609,-39.96467641,Easy,45
171.3241491,-42.43437379,Easiest,60
171.4592061,-41.76501132,"Easiest,Easy",75
171.7933497,-42.99300749,Advanced,960
174.9303168,-41.34895167,Easy,30
175.7990532,-36.83335308,Easy,90
170.4064419,-45.81564491,Advanced,210
171.8812823,-41.609507,Easy,150
175.7796304,-37.46367378,Advanced,240
169.1892161,-44.67673795,Easy,105
171.2442882,-43.90556411,Easy,60
169.3574776,-45.24647496,Easy,?
170.0375426,-43.48983494,Easiest,60
168.0828436,-44.89367366,Easiest,45
169.9701145,-43.44698556,Easiest,90
174.5973201,-36.08109783,Easy,150
174.087409,-41.19653215,Advanced,2160
174.861671,-36.80638899,Easy,120
169.0717515,-44.67339009,Easy,330
170.1632266,-43.69802699,Easy,60
176.2165185,-38.99388423,Advanced,?
174.5725345,-35.83909804,Intermediate,330
175.5810012,-39.14449724,Intermediate,450
172.9402163,-40.83876811,Easy,80
173.4108992,-34.82914702,Easy,180
171.5609532,-42.93523298,Easy,60
170.0942958,-43.71906155,Easy,180
177.0082228,-39.63990437,Easy,300
176.0207557,-40.11345383,Advanced,150
173.0175497,-40.86511127,Intermediate,1920
176.8834351,-39.48193172,Easy,60
169.6360911,-44.18566905,Advanced,360
174.0455177,-35.19197683,Easy,22
169.032178,-44.34282,Advanced,420
170.1588424,-43.4148602,Advanced,480
176.0153801,-39.95602211,Easy,90
173.2066995,-41.5193372,"Advanced,Expert",?
175.8547209,-37.50366084,Advanced,240
172.678597,-40.92487005,Advanced,1920
172.784208,-41.85342461,"Advanced,Expert",1200
174.1714121,-41.0741186,Advanced,120
175.4020129,-36.21279083,Advanced,1200
171.2729818,-42.85870169,Advanced,1440
170.703804,-45.7814491,Easiest,30
176.1107992,-38.62867292,"Easiest,Easy",65
168.8275173,-44.93758862,Easiest,30
171.5589938,-42.92143446,Easy,160
172.6929746,-41.12935934,Advanced,270
168.662001,-44.913323,Advanced,330
171.5456759,-42.94499698,Expert,960
171.5477155,-42.93647063,Expert,420
170.0641876,-44.12643027,Advanced,180
171.4016795,-42.62703957,Easy,150
175.8220988,-40.14956655,Easy,150
169.6529988,-44.40562189,Expert,30
168.6377455,-45.01963718,Easy,2520
174.9898877,-41.33302225,Intermediate,90
171.8936292,-42.24596864,"Intermediate,Advanced",?
167.6354101,-45.86641065,Easy,30
169.6244622,-44.3781718,Expert,60
169.2132875,-44.12294067,Advanced,150
169.2571988,-44.17880346,Intermediate,210
172.3302046,-43.16064558,Expert,300
168.4982227,-45.07305085,Easy,90
168.5274676,-45.07332148,Easy,20
167.3656778,-45.7740298,Advanced,540
169.2079604,-44.34102058,Advanced,420
176.8248634,-39.12380164,Easy,?
167.9835344,-45.14119224,Advanced,180
176.2077564,-39.03180196,Advanced,1440
170.2452208,-43.92699417,Advanced,180
167.1564114,-45.46365128,Easy,60
169.435318,-44.528134,Advanced,960
174.9727674,-39.2744882,Easy,90
169.3444648,-44.1206154,Easy,90
175.7191967,-37.10437238,Easy,302.5
174.8233785,-37.82589575,Easiest,22.5
174.492588,-36.0709906,Advanced,360
168.6869016,-44.81845827,Advanced,300
167.5363447,-45.79223037,Easy,90
175.3889838,-36.09553333,Expert,510
175.5268949,-40.55122894,Advanced,?
170.9799408,-45.12184201,Easy,15
170.608004,-45.89409404,Advanced,90
174.9375085,-41.35380735,Advanced,120
169.2112423,-44.67350164,Easy,45
173.391475,-41.17332442,Easy,198
170.1872879,-43.39340539,Easy,80
176.3391715,-39.37249461,Advanced,?
169.31935,-44.176629,Advanced,270
170.6440617,-43.77831965,Advanced,210
170.1660997,-43.38460672,Easiest,80
169.5851983,-44.21797569,"Advanced,Expert",230
174.3179709,-35.18507175,Advanced,?
172.6788534,-34.42806531,Easiest,10
171.5139009,-43.00099912,Expert,960
168.629884,-44.493628,Expert,720
171.6921417,-43.09539567,"Advanced,Expert",1200
169.3749931,-46.60730144,Easy,30
169.4589776,-46.43875107,Advanced,720
174.953692,-41.34927724,Advanced,90
171.7431299,-43.19643979,Easiest,60
173.2393949,-41.5786031,Advanced,960
172.6572018,-43.78540257,Easy,?
171.2522057,-43.89541668,"Easiest,Easy,Advanced",180
174.9630636,-41.32338931,Advanced,150
169.4778811,-44.91238084,Advanced,300
172.6953627,-41.18224481,Advanced,180
171.2616875,-42.40842991,Easy,60
172.660372,-41.12820864,Expert,360
172.5660123,-41.09024989,Advanced,270
169.4109627,-44.93583575,Easy,15
176.2860563,-39.48880776,Advanced,150
178.3269359,-38.3827811,Easy,150
169.8797173,-43.6102812,Intermediate,420
175.880748,-40.24000213,Advanced,?
175.4117957,-36.49652763,Easy,420
169.193467,-44.495988,Easy,60
171.3782066,-42.28994445,Advanced,720
175.7364854,-37.42799613,Easy,60
168.8504555,-46.05917604,"Easy,Advanced",75
174.1100016,-39.29408601,Advanced,150
174.1078309,-39.31681733,Advanced,145
174.1058358,-39.32500101,Easiest,7.5
174.1014366,-39.31940414,Easy,?
168.1535428,-44.7443979,Expert,300
170.356162,-44.64318997,Easy,60
176.0177115,-39.98599068,Advanced,150
176.2206607,-40.90463048,Easy,90
171.7849031,-41.73339129,Easy,220
168.3894115,-44.77569133,Easy,45
168.966129,-44.644941,Easy,180
169.355005,-44.45757003,Easy,420
169.513451,-44.358808,Advanced,1440
174.6454256,-36.34569595,Advanced,420
174.6130867,-36.361774,Easy,40
174.6292152,-36.36134583,Advanced,90
171.3274251,-43.31196761,Advanced,?
172.2632699,-42.53045359,"Advanced,Expert",?
172.5713008,-40.94437026,Expert,2880
170.1785537,-43.41584083,Easy,60
169.7020696,-44.51277656,Advanced,420
169.4503962,-44.90707986,Advanced,300
167.0811449,-45.67490236,Advanced,4320
168.4273051,-44.71091415,Advanced,4800
169.7492925,-44.35532028,Advanced,720
168.0575763,-45.04066381,Expert,120
168.8168876,-44.43791344,Advanced,150
171.6564492,-42.93149185,Expert,1200
171.6810267,-42.87733224,Expert,1200
167.4803499,-45.74512979,Advanced,270
175.8570557,-37.63195699,Advanced,270
172.6876856,-41.23354609,Expert,960
171.2292257,-43.89648234,Easy,50
174.2825862,-39.12218737,Easiest,?
169.9073691,-44.61165851,Advanced,180
168.0736692,-44.83017231,Expert,330
175.3343713,-36.52491565,Advanced,30
174.0837644,-39.31441218,"Advanced,Expert",330
172.7111166,-40.50894122,"Easy,Advanced,Expert",300
173.9725344,-41.18948446,Easy,40
175.2425796,-40.89688233,Intermediate,330
176.0745315,-38.76141785,Easiest,45
172.7343685,-41.19340263,"Easy,Advanced",240
172.595774,-41.79585298,Easiest,15
175.3815616,-36.20442012,Advanced,300
170.1707624,-43.43359035,Easy,90
173.8352737,-40.92607571,Easiest,10
168.665947,-44.464451,Advanced,420
175.4570725,-40.90338508,Easy,225
167.5136478,-45.02084995,Expert,210
168.0148684,-44.7567559,Expert,300
172.9676533,-40.80686495,Advanced,?
168.94002,-45.01681517,Easy,120
169.0564191,-44.2112604,Advanced,1680
169.8539428,-43.39808943,"Easy,Advanced",110
168.3310682,-44.82408174,Advanced,180
168.3896485,-44.84324839,Easy,90
174.8031312,-36.27087708,Easy,50
170.5056321,-43.62197302,Advanced,570
174.4558047,-36.84748177,"Easy,Advanced",120
175.1003698,-39.91317677,Easiest,15
170.0392135,-45.91874626,Advanced,270
170.5788125,-45.80618572,Easy,270
169.343396,-44.632884,Advanced,300
169.3550531,-44.6823222,Advanced,?
177.9598612,-38.59633908,Easiest,40
167.4578209,-45.80334955,Advanced,270
168.2587361,-44.88056347,Intermediate,1920
172.5256625,-43.14721282,Easiest,60
170.9596454,-44.66690682,Easy,90
176.7031643,-38.63982751,Easiest,45
175.129451,-37.68216206,Easiest,30
175.1293887,-37.64328414,Advanced,450
167.1460883,-45.46904299,Advanced,150
175.3816537,-37.38269202,Advanced,720
175.4542453,-36.15889087,Advanced,150
170.4234056,-43.04110004,Easy,165
171.4368912,-42.88746611,Expert,1680
171.9993148,-42.70045795,Advanced,270
172.3478921,-43.79328857,Easiest,40
172.8804171,-40.94422146,Easy,45
173.4558185,-35.5233817,Advanced,300
170.6757452,-45.6030432,Easy,90
172.3028297,-40.88644937,Intermediate,2400
167.1685361,-45.47019623,Advanced,120
175.9390126,-37.84660619,Advanced,2100
-176.5559907,-43.8521684,Easy,120
170.694016,-45.766098,Advanced,120
169.683398,-44.41296721,Expert,120
175.0787027,-38.00993498,Advanced,210
176.4977849,-38.0340896,Easy,90
169.2532123,-43.82328811,Advanced,1440
171.0180265,-42.95598682,Easiest,15
175.351379,-40.98370699,Intermediate,1440
175.446205,-40.90177,Intermediate,450
168.0646246,-44.51784236,Advanced,2160
168.1259016,-44.66129377,Advanced,300
172.766947,-42.4266744,Easy,300
175.8246168,-41.34659677,"Easy,Expert",330
173.9589733,-35.22034056,Easy,60
170.9620003,-44.62651421,Expert,60
172.2379335,-42.63644176,"Advanced,Expert",?
169.8240656,-43.96440237,Advanced,560
174.13607,-35.88250511,Advanced,225
176.0863568,-38.65892803,"Easiest,Easy",Oct-90
167.3755061,-46.1847714,Intermediate,1440
170.668048,-45.63945408,Easy,45
172.1599408,-42.69129993,"Advanced,Expert",?
168.0302838,-44.90626432,Advanced,180
169.8122194,-44.02985055,Advanced,540
172.9349175,-40.91285787,Advanced,1440
168.4637123,-44.72790912,Easy,180
176.0357182,-39.94800817,Advanced,270
169.193467,-44.495988,Advanced,360
168.6052622,-43.98688424,Easy,70
172.3009072,-42.73931857,"Advanced,Expert",
176.2986534,-37.94905874,Advanced,45
175.6018633,-41.06301524,Easiest,30
175.9082299,-40.08126633,Easy,20
173.596344,-35.79454939,"Easy,Advanced",75
172.600785,-40.55306425,Easy,10
173.6990326,-42.42853613,Easy,92.5
175.928506,-37.87034285,Advanced,20
175.8214401,-39.15157677,Easy,25
175.5259542,-36.73599374,Advanced,90
176.8169691,-39.91908712,Easiest,20
173.959855,-39.15424099,Easy,300
175.4315615,-36.20812068,"Easiest,Advanced",132.5
172.5574068,-40.64008928,Expert,260
172.6945034,-43.71633493,Intermediate,80
176.3827481,-37.75314258,Easy,75
175.2577801,-38.07071064,Advanced,150
174.1217092,-39.30665133,Easiest,20
171.1104832,-42.77312276,Easy,310
175.067986,-37.938631,Advanced,360
175.0800613,-37.93245828,Easy,150
169.3403525,-44.94573862,Advanced,300
175.1383506,-40.91728474,Advanced,420
174.9316582,-40.8511432,Easy,180
172.7835552,-34.45340293,Easy,180
175.0785623,-37.77352233,Advanced,30
175.0949166,-37.86196673,Advanced,28
175.7460211,-37.41885919,Easy,142.5
175.7242283,-37.42702509,Easiest,60
169.8567229,-43.65688693,Expert,960
173.3994557,-34.82723525,Easiest,5
174.7983744,-37.86898074,Advanced,90
176.1420816,-39.93553801,Advanced,?
175.4887034,-36.75804729,Easy,90
174.2055828,-36.10168603,Easiest,15
174.1284069,-35.8933822,Easy,55
175.1543222,-37.60930561,Easy,120
173.6282417,-35.23482403,Easy,10
175.8650058,-38.63830494,Easy,150
172.6169847,-41.69061454,Easiest,20
176.4001173,-39.28251185,Advanced,?
176.4159266,-39.30764082,Easiest,?
168.452662,-44.62401,Advanced,4320
170.9648717,-44.69851924,Easy,30
176.0409845,-39.8410076,Advanced,180
167.5749756,-45.45147182,Intermediate,1680
167.6842887,-45.42079562,Easy,120
167.6524,-45.40740052,Intermediate,540
167.6838923,-45.46797012,Intermediate,150
167.6827234,-45.46948876,Intermediate,285
173.9522514,-35.21686631,Easy,90
175.6512232,-39.09008067,Intermediate,270
169.2629773,-44.43978486,Easiest,30
175.9982059,-39.02072115,Easy,75
175.5413607,-40.81115051,Easy,30
171.969911,-42.08878012,"Advanced,Expert",1200
176.0257461,-39.9907306,Advanced,1440
176.0287095,-39.99555939,Advanced,540
172.5518639,-40.63409605,Advanced,80
175.077648,-40.87786801,Easiest,30
173.963922,-35.21883242,Easy,20
175.9287382,-40.17379996,Advanced,?
176.3921404,-39.34067608,Advanced,?
168.8168876,-45.05986931,Advanced,90
170.0530523,-44.55172092,Easy,150
173.3213056,-41.56791843,Advanced,105
172.1396012,-42.48389525,Advanced,1200
171.049008,-43.59799187,"Easy,Advanced",300
172.2517406,-42.32432015,Intermediate,180
168.5542845,-45.03623844,Easy,210
168.5470648,-45.05585505,Easy,90
174.0826989,-39.32766378,Advanced,450
171.2529052,-43.49158609,Advanced,?
171.080694,-43.63308857,Advanced,180
167.3688507,-45.98410746,Advanced,240
167.3357432,-46.0265057,Advanced,540
167.3872678,-45.9919314,Easy,40
169.43331,-44.341489,Advanced,660
168.801464,-44.979611,Easy,150
171.2073432,-43.4810819,Easy,73.75
177.1343899,-38.80154578,Advanced,60
171.1470638,-42.80198498,Easiest,8
171.1341583,-42.84288394,Easy,240
171.6845182,-42.78427938,Expert,555
168.1021294,-44.80697599,Easy,20
168.0924929,-44.79997213,Advanced,100
167.8236783,-45.20097449,Easy,45
167.5174805,-45.81604691,Easiest,30
173.1962236,-35.03271511,Easy,60
169.8642593,-44.2875036,Advanced,?
173.3803554,-34.96730613,Easy,10
176.4225639,-38.11987294,Advanced,110
172.6163082,-41.15864427,Advanced,310
170.112076,-44.14603,"Easiest,Expert",130
168.3221325,-44.95008354,Easy,300
172.8329311,-41.84212193,Advanced,510
172.5947346,-41.80248528,Easy,102.5
169.3668504,-45.29580625,"Easy,Advanced",420
168.3219562,-44.71534662,Easy,100
170.4712372,-43.99144337,Advanced,135
176.9083907,-39.22200812,"Easiest,Easy",100
177.1638557,-38.73384968,Easy,120
177.0254011,-38.7524758,Intermediate,750
177.0842105,-38.79216788,Intermediate,720
170.1724691,-43.40765308,Easy,90
174.5351628,-36.0668377,Easy,180
176.4465665,-39.35409581,Advanced,?
173.1213524,-41.94156088,Expert,2160
174.796649,-38.41450833,Intermediate,360
170.5002927,-45.80110857,"Easy,Advanced",210
172.4395031,-41.31655782,Advanced,450
172.5426321,-42.27866083,Expert,270
172.3893684,-42.37968543,Advanced,90
175.958477,-37.78105404,Advanced,120
176.2310942,-40.90082806,Easiest,30
175.8579412,-37.53749589,Advanced,300
169.599108,-44.775114,Advanced,540
177.3881146,-38.27966379,Advanced,150
171.2276831,-43.89618696,Advanced,270
168.665947,-44.464451,Advanced,360
172.7417627,-41.18144045,Advanced,270
173.5643664,-35.65677173,Advanced,60
176.4399728,-39.30059241,Advanced,210
168.772812,-45.137258,Advanced,240
170.6249129,-43.65347115,Advanced,300
175.9029092,-40.16714651,Advanced,300
177.8797722,-39.12576254,Advanced,180
170.9047506,-42.7912584,Easiest,20
173.8506275,-34.99448563,Easy,60
174.802487,-38.47091454,Advanced,480
174.126152,-35.88299461,Advanced,150
173.412972,-34.82165351,Advanced,90
176.426637,-39.22722726,Advanced,?
174.6974167,-41.22388459,Advanced,?
169.3861729,-44.13735517,Advanced,360
174.0917839,-39.27889993,Advanced,180
170.9327698,-42.78359637,Easy,150
175.8166568,-40.33970609,Easiest,20
175.8025403,-40.3249416,Easy,240
175.4346755,-40.62498796,Advanced,840
173.7170601,-35.20064991,Advanced,150
173.4255143,-35.20931934,Advanced,570
177.4080337,-38.278097,Advanced,210
177.7218936,-38.99058227,Easy,20
177.3090691,-38.17040607,Advanced,210
175.0594476,-39.2073007,Advanced,1680
174.7485405,-38.43029922,Advanced,480
175.7799658,-39.80990092,Easy,60
