X,Y,difficulty,Time,
178.30843,-38.231307,Easy,120,
172.622902,-40.752098,Easy,180,
174.093759,-39.272137,Advanced-Expert,2160,
175.138814,-39.727109,Advanced,420,
169.146338,-45.077094,Easy,90,
169.810247,-44.870071,Easiest-Advanced,45,
169.276287,-44.164198,Easiest,60,
175.779968,-37.464687,Advanced,180,
167.536451,-45.775989,Easy,40,
175.524361,-39.964676,Easy,45,
171.324149,-42.434374,Easiest,60,
171.459206,-41.765011,Easiest-Easy,75,
171.79335,-42.993007,Advanced,960,
174.930317,-41.348952,Easy,30,
175.799053,-36.833353,Easy,90,
170.406442,-45.815645,Advanced,210,
171.881282,-41.609507,Easy,150,
175.77963,-37.463674,Advanced,240,
169.189216,-44.676738,Easy,105,
171.244288,-43.905564,Easy,60,
169.357478,-45.246475,Easy,?,
170.037543,-43.489835,Easiest,60,
168.082844,-44.893674,Easiest,45,
169.970114,-43.446986,Easiest,90,
174.59732,-36.081098,Easy,150,
174.087409,-41.196532,Advanced,2160,
174.861671,-36.806389,Easy,120,
169.071752,-44.67339,Easy,330,
170.163227,-43.698027,Easy,60,
176.216519,-38.993884,Advanced,?,
174.572534,-35.839098,Intermediate,330,
175.581001,-39.144497,Intermediate,450,
172.940216,-40.838768,Easy,80,
173.410899,-34.829147,Easy,180,
171.560953,-42.935233,Easy,60,
170.094296,-43.719062,Easy,180,
177.008223,-39.639904,Easy,300,
176.020756,-40.113454,Advanced,150,
173.01755,-40.865111,Intermediate,1920,
176.883435,-39.481932,Easy,60,
169.636091,-44.185669,Advanced,360,
174.045518,-35.191977,Easy,22,
169.032178,-44.34282,Advanced,420,
170.158842,-43.41486,Advanced,480,
176.01538,-39.956022,Easy,90,
173.2067,-41.519337,Advanced-Expert,?,
175.854721,-37.503661,Advanced,240,
172.678597,-40.92487,Advanced,1920,
172.784208,-41.853425,Advanced-Expert,1200,
174.171412,-41.074119,Advanced,120,
175.402013,-36.212791,Advanced,1200,
171.272982,-42.858702,Advanced,1440,
170.703804,-45.781449,Easiest,30,
176.110799,-38.628673,Easiest-Easy,65,
168.827517,-44.937589,Easiest,30,
171.558994,-42.921434,Easy,160,
172.692975,-41.129359,Advanced,270,
