@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-Rlast_predicted

@attribute difficulty {Easy,Intermediate,Easiest,Advanced,Expert,'Easy,Expert','Advanced,Expert','Easiest,Easy','Easiest,Expert','Easiest,Advanced','Intermediate,Advanced,Expert','Easy,Advanced','Intermediate,Advanced'}
@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Class' {0,1,2}
@attribute Class {0,1,2}

@data
Easy,6840.040329,172.656538,-41.106955,0.642813,1,1
Intermediate,34292.53523,168.181496,-44.760314,0.995875,2,2
Easy,574.409899,177.721894,-38.990582,0.99966,0,0
Easiest,1004.34956,177.959861,-38.596339,0.999999,0,0
Advanced,7458.636545,172.821264,-41.827155,1,1,1
Advanced,9720.53566,169.340352,-44.945739,1,1,1
Easiest,421.040669,167.950341,-44.721436,0.999994,0,0
Intermediate,6461.33931,172.781446,-41.836658,0.999882,1,1
Expert,3039.152668,171.49161,-43.317707,0.999887,1,1
Easiest,3597.770111,171.526574,-42.401569,-1,0,1
'Easy,Expert',23132.58858,173.597341,-42.297216,0.977934,0,0
Easy,1841.243254,170.163227,-43.698027,0.526064,0,0
Intermediate,46258.31634,175.351379,-40.983707,1,2,2
Easy,5812.7438,174.861671,-36.806389,0.987914,1,1
Easy,22119.96399,175.933437,-38.685913,0.999999,1,1
Easiest,421.040669,167.950341,-44.721436,0.999994,0,0
Easy,5643.699667,177.596603,-38.239478,0.989323,1,1
Easy,2174.668886,173.773222,-41.049752,-0.358751,1,0
Easy,4520.67917,175.44973,-40.902876,-0.368838,1,0
Intermediate,3195.585901,168.119366,-44.816882,0.999999,1,1
Intermediate,65134.84337,174.087409,-41.196532,1,2,2
Easy,3432.070434,175.771202,-37.317907,0.694383,0,0
Advanced,17462.07339,176.025746,-39.990731,0.998748,2,2
Advanced,70247.81711,175.62808,-39.290129,0.999633,2,2
Expert,74534.37081,175.844804,-37.648575,0.999633,2,2
Easy,1967.638846,174.936556,-41.343213,0.363109,1,1
Expert,8290.61593,174.914164,-36.782432,1,1,1
Easy,5618.762537,175.356552,-36.477376,0.988345,1,1
Easy,4399.689845,169.161575,-44.692078,0.527885,0,0
Easy,2244.825728,175.154322,-37.609306,0.999768,0,0
Easiest,718.069786,170.113196,-46.001617,0.999994,0,0
Easy,10808.62116,168.94002,-45.016815,0.999995,1,1
Easy,6067.516674,168.605262,-43.986884,0.428103,0,0
Intermediate,6461.33931,172.781446,-41.836658,0.999882,1,1
Easy,1887.201153,174.972767,-39.274488,0.591663,0,0
Advanced,2529.837539,174.715042,-36.307139,-0.387595,0,1
Easiest,1162.419368,176.456091,-38.248426,0.999998,0,0
Easy,1706.756362,172.940216,-40.838768,0.271711,1,1
Easiest,285.833325,173.799782,-35.19879,0.947888,0,0
Easiest,421.040669,167.950341,-44.721436,0.999994,0,0
Easiest,3332.445698,170.089683,-45.57107,0.999994,0,0
Advanced,85782.09269,167.88232,-46.957926,0.995875,2,2
'Advanced,Expert',4206.429489,169.585198,-44.217976,0.999999,1,1
Easy,20367.52221,174.041496,-41.368748,0.999999,1,1
'Advanced,Expert',4206.429489,169.585198,-44.217976,0.999999,1,1
Easiest,710.599218,176.296638,-39.93176,0.999999,0,0
Easiest,347.853214,170.029211,-43.492498,1,0,0
Advanced,18213.47197,170.624913,-43.653471,1,1,1
Advanced,7343.304934,177.160335,-38.783183,1,1,1
Easy,9112.758816,170.053052,-44.551721,0.967221,1,1
Advanced,2338.225179,168.030284,-44.906264,0.928413,1,1
Easy,4399.801591,175.736485,-37.427996,-0.352277,1,0
Easiest,1362.962096,175.623521,-36.720969,0.86693,0,0
Easy,2570.670601,175.471081,-40.904241,-0.365041,1,0
Easiest,2082.121385,174.823378,-37.825896,0.993937,0,0
Advanced,19733.6682,176.057282,-39.926985,0.999594,2,2
Easy,665.076063,173.749879,-35.048392,0.706264,0,0
Advanced,41684.30391,175.402013,-36.212791,0.999633,2,2
Advanced,9720.53566,169.340352,-44.945739,1,1,1
Expert,2102.553963,170.962,-44.626514,0.578994,0,0
Easy,6067.516674,168.605262,-43.986884,0.428103,0,0
'Easiest,Easy',1669.669622,173.442189,-35.530217,0.999992,1,1
Easy,3107.470063,170.959645,-44.666907,0.528748,0,0
Easy,622.142677,167.63541,-45.866411,0.637356,0,0
Expert,11751.04192,171.387958,-42.265246,0.995842,1,1
Advanced,9829.441473,174.118033,-35.868631,1,1,1
Easiest,1256.537599,173.532676,-35.608515,0.896083,0,0
Advanced,10853.43685,172.692975,-41.129359,1,1,1
Easy,11352.3479,175.715266,-38.709368,0.999999,1,1
Advanced,40119.91518,175.263644,-40.974617,0.999633,2,2
Easiest,432.157044,176.283287,-39.964954,1,0,0
Easiest,151.515708,174.86266,-38.255394,0.999997,0,0
Easiest,3332.445698,170.089683,-45.57107,0.999994,0,0
Intermediate,592.948933,173.733009,-35.013562,0.398639,0,0
Advanced,3539.196513,175.25778,-38.070711,0.999839,1,1
Easiest,532.198482,173.368882,-35.535505,0.978789,0,0
Easy,5643.699667,177.596603,-38.239478,0.989323,1,1
Easiest,2068.743095,173.53142,-35.613681,0.944282,1,1
Easy,1310.65534,175.968814,-38.883153,0.997983,0,0
Advanced,32435.53602,168.903288,-44.776573,0.995769,2,2
Easy,2596.396968,175.236517,-41.44828,0.365911,1,1
Easy,22119.96399,175.933437,-38.685913,0.999999,1,1
Expert,11802.6525,171.545676,-42.944997,0.891257,2,2
Easiest,1256.537599,173.532676,-35.608515,0.896083,0,0
Easy,11591.71309,174.229404,-35.216975,0.999999,1,1
Easy,3632.311888,172.6957,-34.429123,-0.441042,0,1
Easy,1591.144955,176.69384,-38.672906,-0.986273,0,1
Advanced,62747.805,167.081145,-45.674902,0.995875,2,2
Advanced,84653.26536,168.46721,-44.693572,0.999952,2,2
Easiest,5921.0808,174.108386,-39.25752,0.938353,0,0
Easy,2249.252265,175.897619,-38.910774,0.225902,0,0
Easy,4897.245761,168.566842,-45.004504,-0.529009,0,1
Easiest,704.500823,172.401476,-42.379524,1,0,0
Easiest,347.853214,170.029211,-43.492498,1,0,0
Easy,5060.519948,169.357478,-45.246475,0.530757,0,0
Advanced,4047.873045,176.300688,-39.627293,0.986421,1,1
Advanced,15962.11912,176.246676,-37.800157,-0.999973,1,0
Easy,1310.65534,175.968814,-38.883153,0.997983,0,0
Easiest,372.077664,174.849178,-38.260527,0.999998,0,0
Easy,2690.014668,171.179872,-43.983654,0.526408,0,0
Advanced,45555.45858,172.139601,-42.483895,0.999217,2,2
Easiest,2024.435791,176.020205,-40.124957,0.999997,0,0
Easy,3438.489096,171.40168,-42.62704,0.338491,1,1
Easy,1313.942264,174.936643,-41.345646,-0.343441,1,0
Easy,3438.489096,171.40168,-42.62704,0.338491,1,1
Intermediate,25306.53165,168.061376,-46.873639,0.915708,2,2
Easiest,1256.537599,173.532676,-35.608515,0.896083,0,0
Easiest,4305.382387,176.212247,-38.765627,0.939585,0,0
Easy,6927.602538,177.700047,-38.468699,0.999999,1,1
Advanced,20104.45271,168.816888,-44.437913,0.999984,1,1
Intermediate,64475.79228,168.258736,-44.880563,0.999165,2,2
Advanced,379.806838,175.928506,-37.870343,0.396953,0,0
'Easiest,Easy',1669.669622,173.442189,-35.530217,0.999992,1,1
'Easiest,Expert',4490.586857,170.112076,-44.14603,0.99998,1,1
'Advanced,Expert',13992.94903,169.400273,-43.806246,0.985589,2,2
Easy,100.49515,167.928178,-44.672785,0.540917,0,0
