@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute Id numeric
@attribute difficulty {Easy,Easiest,Advanced,'Easiest,Easy',Intermediate,'Advanced,Expert',Expert,'Intermediate,Advanced','Easy,Advanced','Easy,Expert','Intermediate,Advanced,Expert','Easiest,Advanced','Easiest,Expert'}
@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute Class {0,1,2}

@data
186,Easy,6840.040329,172.656538,-41.106955,1
189,Intermediate,34292.53523,168.181496,-44.760314,2
248,Easy,574.409899,177.721894,-38.990582,0
314,Easiest,1004.34956,177.959861,-38.596339,0
255,Advanced,7458.636545,172.821264,-41.827155,1
105,Advanced,9720.53566,169.340352,-44.945739,1
35,Easiest,421.040669,167.950341,-44.721436,0
207,Intermediate,6461.33931,172.781446,-41.836658,1
379,Expert,3039.152668,171.49161,-43.317707,1
149,Easiest,3597.770111,171.526574,-42.401569,1
170,'Easy,Expert',23132.58858,173.597341,-42.297216,0
74,Easy,1841.243254,170.163227,-43.698027,0
318,Intermediate,46258.31634,175.351379,-40.983707,2
64,Easy,5812.7438,174.861671,-36.806389,1
363,Easy,22119.96399,175.933437,-38.685913,1
35,Easiest,421.040669,167.950341,-44.721436,0
393,Easy,5643.699667,177.596603,-38.239478,1
63,Easy,2174.668886,173.773222,-41.049752,0
197,Easy,4520.67917,175.44973,-40.902876,0
190,Intermediate,3195.585901,168.119366,-44.816882,1
177,Intermediate,65134.84337,174.087409,-41.196532,2
333,Easy,3432.070434,175.771202,-37.317907,0
111,Advanced,17462.07339,176.025746,-39.990731,2
300,Advanced,70247.81711,175.62808,-39.290129,2
275,Expert,74534.37081,175.844804,-37.648575,2
160,Easy,1967.638846,174.936556,-41.343213,1
99,Expert,8290.61593,174.914164,-36.782432,1
154,Easy,5618.762537,175.356552,-36.477376,1
238,Easy,4399.689845,169.161575,-44.692078,0
103,Easy,2244.825728,175.154322,-37.609306,0
6,Easiest,718.069786,170.113196,-46.001617,0
55,Easy,10808.62116,168.94002,-45.016815,1
1,Easy,6067.516674,168.605262,-43.986884,0
207,Intermediate,6461.33931,172.781446,-41.836658,1
164,Easy,1887.201153,174.972767,-39.274488,0
356,Advanced,2529.837539,174.715042,-36.307139,1
290,Easiest,1162.419368,176.456091,-38.248426,0
21,Easy,1706.756362,172.940216,-40.838768,1
76,Easiest,285.833325,173.799782,-35.19879,0
35,Easiest,421.040669,167.950341,-44.721436,0
216,Easiest,3332.445698,170.089683,-45.57107,0
261,Advanced,85782.09269,167.88232,-46.957926,2
278,'Advanced,Expert',4206.429489,169.585198,-44.217976,1
338,Easy,20367.52221,174.041496,-41.368748,1
278,'Advanced,Expert',4206.429489,169.585198,-44.217976,1
193,Easiest,710.599218,176.296638,-39.93176,0
221,Easiest,347.853214,170.029211,-43.492498,0
289,Advanced,18213.47197,170.624913,-43.653471,1
101,Advanced,7343.304934,177.160335,-38.783183,1
158,Easy,9112.758816,170.053052,-44.551721,1
253,Advanced,2338.225179,168.030284,-44.906264,1
334,Easy,4399.801591,175.736485,-37.427996,0
77,Easiest,1362.962096,175.623521,-36.720969,0
56,Easy,2570.670601,175.471081,-40.904241,0
137,Easiest,2082.121385,174.823378,-37.825896,0
146,Advanced,19733.6682,176.057282,-39.926985,2
159,Easy,665.076063,173.749879,-35.048392,0
230,Advanced,41684.30391,175.402013,-36.212791,2
105,Advanced,9720.53566,169.340352,-44.945739,1
85,Expert,2102.553963,170.962,-44.626514,0
1,Easy,6067.516674,168.605262,-43.986884,0
152,'Easiest,Easy',1669.669622,173.442189,-35.530217,1
287,Easy,3107.470063,170.959645,-44.666907,0
284,Easy,622.142677,167.63541,-45.866411,0
199,Expert,11751.04192,171.387958,-42.265246,1
397,Advanced,9829.441473,174.118033,-35.868631,1
309,Easiest,1256.537599,173.532676,-35.608515,0
115,Advanced,10853.43685,172.692975,-41.129359,1
266,Easy,11352.3479,175.715266,-38.709368,1
129,Advanced,40119.91518,175.263644,-40.974617,2
260,Easiest,432.157044,176.283287,-39.964954,0
117,Easiest,151.515708,174.86266,-38.255394,0
216,Easiest,3332.445698,170.089683,-45.57107,0
259,Intermediate,592.948933,173.733009,-35.013562,0
323,Advanced,3539.196513,175.25778,-38.070711,1
88,Easiest,532.198482,173.368882,-35.535505,0
393,Easy,5643.699667,177.596603,-38.239478,1
132,Easiest,2068.743095,173.53142,-35.613681,1
202,Easy,1310.65534,175.968814,-38.883153,0
198,Advanced,32435.53602,168.903288,-44.776573,2
89,Easy,2596.396968,175.236517,-41.44828,1
363,Easy,22119.96399,175.933437,-38.685913,1
242,Expert,11802.6525,171.545676,-42.944997,2
309,Easiest,1256.537599,173.532676,-35.608515,0
86,Easy,11591.71309,174.229404,-35.216975,1
70,Easy,3632.311888,172.6957,-34.429123,1
380,Easy,1591.144955,176.69384,-38.672906,1
296,Advanced,62747.805,167.081145,-45.674902,2
360,Advanced,84653.26536,168.46721,-44.693572,2
11,Easiest,5921.0808,174.108386,-39.25752,0
218,Easy,2249.252265,175.897619,-38.910774,0
127,Easy,4897.245761,168.566842,-45.004504,1
375,Easiest,704.500823,172.401476,-42.379524,0
221,Easiest,347.853214,170.029211,-43.492498,0
254,Easy,5060.519948,169.357478,-45.246475,0
26,Advanced,4047.873045,176.300688,-39.627293,1
302,Advanced,15962.11912,176.246676,-37.800157,0
202,Easy,1310.65534,175.968814,-38.883153,0
237,Easiest,372.077664,174.849178,-38.260527,0
251,Easy,2690.014668,171.179872,-43.983654,0
75,Advanced,45555.45858,172.139601,-42.483895,2
33,Easiest,2024.435791,176.020205,-40.124957,0
95,Easy,3438.489096,171.40168,-42.62704,1
376,Easy,1313.942264,174.936643,-41.345646,0
95,Easy,3438.489096,171.40168,-42.62704,1
225,Intermediate,25306.53165,168.061376,-46.873639,2
309,Easiest,1256.537599,173.532676,-35.608515,0
144,Easiest,4305.382387,176.212247,-38.765627,0
104,Easy,6927.602538,177.700047,-38.468699,1
348,Advanced,20104.45271,168.816888,-44.437913,1
168,Intermediate,64475.79228,168.258736,-44.880563,2
181,Advanced,379.806838,175.928506,-37.870343,0
152,'Easiest,Easy',1669.669622,173.442189,-35.530217,1
234,'Easiest,Expert',4490.586857,170.112076,-44.14603,1
58,'Advanced,Expert',13992.94903,169.400273,-43.806246,2
167,Easy,100.49515,167.928178,-44.672785,0
178,Easiest,200.304806,176.215495,-38.401156,0
346,Easy,1945.604475,174.85517,-36.807931,0
251,Easy,2690.014668,171.179872,-43.983654,0
370,Easiest,1693.526664,174.043296,-39.103996,0
209,Easiest,970.70192,175.137101,-37.662708,0
4,Advanced,11422.56164,174.802487,-38.470915,1
91,Easy,643.27841,177.310239,-38.078972,0
77,Easiest,1362.962096,175.623521,-36.720969,0
117,Easiest,151.515708,174.86266,-38.255394,0
297,Advanced,21858.26064,169.072869,-44.722126,2
22,Easy,1590.882815,172.861803,-40.881495,0
100,Advanced,3070.054227,174.990159,-36.777342,0
235,Advanced,20543.11825,175.04735,-41.318675,2
220,Easy,7011.897881,171.784903,-41.733391,0
129,Advanced,40119.91518,175.263644,-40.974617,2
272,Easy,2280.081638,175.82144,-39.151577,0
151,Expert,7337.96206,168.057576,-45.040664,1
106,Easy,2717.697436,173.850628,-34.994486,0
96,Easiest,1016.771432,172.616985,-41.690615,0
257,Expert,7977.655449,173.572182,-41.463808,1
65,Easiest,246.126518,173.942699,-35.214249,0
292,Easy,4191.582229,176.007524,-39.897251,1
17,Advanced,18593.83517,168.964794,-45.151074,1
237,Easiest,372.077664,174.849178,-38.260527,0
89,Easy,2596.396968,175.236517,-41.44828,1
29,Easy,719.681471,173.627554,-35.239921,0
312,Easiest,3579.641885,169.970114,-43.446986,0
163,Advanced,4395.838145,174.317971,-35.185072,1
264,Easiest,89.895016,175.571237,-36.989997,0
191,Easy,7094.916432,174.818434,-41.146908,1
280,Expert,29384.06784,171.656449,-42.931492,2
296,Advanced,62747.805,167.081145,-45.674902,2
293,Easy,3027.133188,176.883435,-39.481932,0
264,Easiest,89.895016,175.571237,-36.989997,0
395,'Advanced,Expert',34534.85086,172.784208,-41.853425,2
243,Easy,2104.215157,175.961235,-38.697811,0
224,Advanced,5785.583899,176.286056,-39.488808,1
98,Easy,3456.269258,174.475884,-35.861832,0
302,Advanced,15962.11912,176.246676,-37.800157,0
276,Advanced,1131.947017,176.298653,-37.949059,0
158,Easy,9112.758816,170.053052,-44.551721,1
65,Easiest,246.126518,173.942699,-35.214249,0
108,Easy,2444.081838,168.720757,-45.319567,0
158,Easy,9112.758816,170.053052,-44.551721,1
50,Advanced,8617.298125,169.343396,-44.632884,1
357,'Advanced,Expert',92893.99727,174.093759,-39.272137,2
358,Advanced,8241.54867,170.039213,-45.918746,1
150,Easy,1334.950782,174.083392,-35.289015,0
84,Easy,3455.563327,167.704828,-45.438016,0
47,Advanced,9481.501485,175.781413,-37.261166,1
92,Advanced,7260.622087,176.255891,-39.669321,1
147,Easiest,1500.968132,169.437736,-46.579576,0
289,Advanced,18213.47197,170.624913,-43.653471,1
336,Easy,2847.839102,168.547065,-45.055855,0
378,Advanced,6753.046451,170.329615,-44.206423,1
309,Easiest,1256.537599,173.532676,-35.608515,0
143,Easy,1243.332956,170.356162,-44.64319,0
236,Easy,7792.587138,175.222478,-40.882574,0
97,'Advanced,Expert',1546.008173,169.794086,-44.363869,1
371,Advanced,8045.104635,175.486059,-40.856753,1
171,Easy,291.435803,173.975779,-36.058133,0
30,Easy,3965.725559,176.264474,-39.720375,1
96,Easiest,1016.771432,172.616985,-41.690615,0
109,Advanced,78581.5092,176.207756,-39.031802,2
241,Easy,2629.400057,176.014874,-38.736196,0
341,Expert,2038.63973,169.683398,-44.412967,1
336,Easy,2847.839102,168.547065,-45.055855,0
207,Intermediate,6461.33931,172.781446,-41.836658,1
199,Expert,11751.04192,171.387958,-42.265246,1
188,Advanced,18841.85081,174.960026,-41.325223,1
329,Easy,587.172263,174.134748,-35.892819,0
310,Advanced,27068.09638,169.812219,-44.029851,1
103,Easy,2244.825728,175.154322,-37.609306,0
200,Easy,1747.25978,174.352711,-35.928459,1
292,Easy,4191.582229,176.007524,-39.897251,1
61,Advanced,16454.82476,173.827518,-42.236041,1
39,Expert,4832.004755,173.848472,-42.199905,1
234,'Easiest,Expert',4490.586857,170.112076,-44.14603,1
206,Expert,7858.156653,176.153181,-37.971362,1
33,Easiest,2024.435791,176.020205,-40.124957,0
182,Easy,1830.543523,170.201516,-43.387143,0
116,Easy,512.828967,167.823678,-45.200974,0
310,Advanced,27068.09638,169.812219,-44.029851,1
67,Easiest,798.280113,176.519544,-38.159507,0
197,Easy,4520.67917,175.44973,-40.902876,0
8,Advanced,2992.429545,177.800795,-38.984819,1
84,Easy,3455.563327,167.704828,-45.438016,0
139,Intermediate,11635.69132,173.703324,-35.235466,1
303,Expert,45151.34487,171.344016,-42.949539,2
268,Easy,552.552702,168.126725,-44.695017,0
133,Advanced,4112.017564,170.064188,-44.12643,1
218,Easy,2249.252265,175.897619,-38.910774,0
119,Easy,3001.665476,176.497785,-38.03409,0
346,Easy,1945.604475,174.85517,-36.807931,0
295,Advanced,4525.194931,173.71706,-35.20065,1
392,Easy,2575.691201,170.170762,-43.43359,1
237,Easiest,372.077664,174.849178,-38.260527,0
180,Advanced,12327.64082,174.747782,-39.521372,1
269,Easy,3217.853171,178.040014,-38.640642,1
299,Advanced,15279.22086,175.388671,-36.192375,1
284,Easy,622.142677,167.63541,-45.866411,0
164,Easy,1887.201153,174.972767,-39.274488,0
175,Easy,3493.115493,175.093954,-38.260969,1
201,Advanced,14064.61602,169.026098,-45.538959,1
355,Easy,3408.967142,-176.555991,-43.852168,0
290,Easiest,1162.419368,176.456091,-38.248426,0
370,Easiest,1693.526664,174.043296,-39.103996,0
373,Easiest,631.219432,175.10037,-39.913177,0
141,Advanced,12345.70847,175.42479,-36.215681,1
159,Easy,665.076063,173.749879,-35.048392,0
351,Intermediate,53855.50795,167.78562,-44.813536,2
277,Advanced,2443.805508,177.796562,-38.981836,1
